name：	chinese_name：	source：	meaning：
Daisy	黛西	英國	雛菊。
Dale	黛兒	英國	居住在丘陵間之山谷中者。
Dana	黛娜	希伯來	來自丹麥的人；神的母親；聰明且純潔的。
Damla	達姆拉	土耳其	水珠。
Daphne	黛芙妮	希臘神話	月桂樹；桂冠。
Darlene	達蓮娜	英國	溫柔可愛；體貼地愛。
Dawn	潼恩	英國	黎明，喚醒，振作。
Debby	黛碧	希伯來	蜜蜂；蜂王。
Deborah	黛博拉	希伯來	蜜蜂；蜂王。
Deirdre	迪得莉	蓋爾	憂愁的。
Delia	迪麗雅	希臘	牧羊女
Denise	丹尼絲	希臘	代表花。
Destiny	黛絲特妮	法國	決定的。
Diana	戴安娜	拉丁	光亮如白畫；月亮女神
Dinah	黛娜	希伯來	被評判的人，雅各的女兒。
Dolores	多洛莉絲	拉丁	悲傷，痛苦或遺憾。
Dominic	多明尼卡	拉丁	屬於上帝的。
Donna	唐娜	拉丁	貴婦，淑女，夫人。
Doreen	多琳	希臘	神的贈禮。
Dora	朵拉	希臘	神的贈禮。
Doris	多莉絲	希臘	來自大海的；海洋女神。
Dorothy	桃樂斯	希臘	上帝的贈禮。
Eartha	爾莎	英國	土地或泥土；比喻像大地般堅忍的人。
Eden	伊甸	希伯來	聖經中的樂園，歡樂之地。
Edith	伊蒂絲	古英國	格鬥；戰爭。
Edwina	艾德文娜	英國	有價值的朋友；財產的獲得者。
Eileen	愛琳	蓋爾	光亮的，討人喜歡的。
Elaine	伊蓮恩	法國	光亮的；年幼的小鹿。
Eleanore	愛琳諾	法國	光亮的；多產的，肥沃的，有收穫的。
Elizabeth	伊莉莎白	希伯來	上帝的誓約。
Ella	艾拉	英國	美麗的童話；憐憫。
Ellen	艾倫	希臘、拉丁	火把。
Elma	艾爾瑪	希臘	富愛心的人，親切的。
Elsa	愛爾莎	希臘	誠實的。
Elsie	艾西	希伯來，希臘	上帝的誓約，誠實的。
Elvira	艾薇拉	拉丁	小精靈，白種人的。
Elva	艾娃	斯堪的那維亞	神奇且智能的。
Emily	艾蜜莉	條頓，拉丁	競爭者；對手。
Emma	艾瑪	條頓	宇宙的。
Enid	伊妮德	塞爾特人	純潔得毫無瑕庛。
Erin	愛琳	蓋爾	鑲在海中是的翡翠；和平，安寧之源。
Erica	艾麗卡	條頓	有權力的；帝王的；統治者。
Esther	艾絲特	希伯來	星星
Ethel	艾瑟兒	英國	尊貴的；出身高貴的。
Eudora	尤朵拉	希臘	可愛的贈禮，美好的、愉快的。
Eunice	尤妮絲	希臘	快樂的勝利。
Evangeline	伊文捷琳	希臘	福音的信差，福音；天使
Eve	伊芙	希伯來	生命；賦予生命者生靈之母
Evelyn	伊芙琳	塞爾特	生命；易相處的人；令人愉快的人。
Faithe	費滋	拉丁	忠實可信的人。
Faith	費絲	英國	信念。
Fanny	梵妮	法國	自由之人。
Fay	費怡	法國	忠貞或忠誠；小仙女。
Flora	弗羅拉	拉丁	花；花之神
Florence	弗羅倫絲	塞爾特	開花的或美麗的。
Frances	法蘭西斯	法國	自由之人，無拘束的人。
Freda	弗莉達	德國	和平；領導者。
Frederica	菲蕾德翠卡	條頓	和平的領導者。
